id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2022_pres_t1;2022;pres;1;69008;Ancy;PÉCRESSE;LR;Les Republicains;Droite;26;5.26;6.24
2022_pres_t1;2022;pres;1;69008;Ancy;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;3;0.61;0.72
2022_pres_t1;2022;pres;1;69008;Ancy;ZEMMOUR;EXD;Reconquete;Extreme droite;20;4.05;4.8
2022_pres_t1;2022;pres;1;69009;Anse;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;16;0.32;0.41
2022_pres_t1;2022;pres;1;69009;Anse;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;73;1.44;1.87
2022_pres_t1;2022;pres;1;69009;Anse;HIDALGO;SOC;Parti Socialiste;Gauche;65;1.29;1.66
2022_pres_t1;2022;pres;1;69009;Anse;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;195;3.86;4.99
2022_pres_t1;2022;pres;1;69009;Anse;LASSALLE;DIV;Resistons;Divers;101;2.0;2.59
2022_pres_t1;2022;pres;1;69009;Anse;LE PEN;RN;Rassemblement National;Extreme droite;830;16.41;21.26
2022_pres_t1;2022;pres;1;69009;Anse;MACRON;ENS;En Marche / Renaissance;Centre;1256;24.84;32.17
2022_pres_t1;2022;pres;1;69009;Anse;MÉLENCHON;FI;La France Insoumise;Gauche radicale;820;16.22;21.0
2022_pres_t1;2022;pres;1;69009;Anse;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;32;0.63;0.82
2022_pres_t1;2022;pres;1;69009;Anse;PÉCRESSE;LR;Les Republicains;Droite;193;3.82;4.94
2022_pres_t1;2022;pres;1;69009;Anse;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;49;0.97;1.26
2022_pres_t1;2022;pres;1;69009;Anse;ZEMMOUR;EXD;Reconquete;Extreme droite;274;5.42;7.02
2022_pres_t1;2022;pres;1;69010;L'Arbresle;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;15;0.36;0.47
2022_pres_t1;2022;pres;1;69010;L'Arbresle;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;63;1.51;1.99
2022_pres_t1;2022;pres;1;69010;L'Arbresle;HIDALGO;SOC;Parti Socialiste;Gauche;55;1.32;1.74
2022_pres_t1;2022;pres;1;69010;L'Arbresle;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;209;5.01;6.6
2022_pres_t1;2022;pres;1;69010;L'Arbresle;LASSALLE;DIV;Resistons;Divers;71;1.7;2.24
2022_pres_t1;2022;pres;1;69010;L'Arbresle;LE PEN;RN;Rassemblement National;Extreme droite;593;14.22;18.73
2022_pres_t1;2022;pres;1;69010;L'Arbresle;MACRON;ENS;En Marche / Renaissance;Centre;851;20.41;26.88
2022_pres_t1;2022;pres;1;69010;L'Arbresle;MÉLENCHON;FI;La France Insoumise;Gauche radicale;840;20.14;26.53
2022_pres_t1;2022;pres;1;69010;L'Arbresle;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;14;0.34;0.44
2022_pres_t1;2022;pres;1;69010;L'Arbresle;PÉCRESSE;LR;Les Republicains;Droite;137;3.29;4.33
2022_pres_t1;2022;pres;1;69010;L'Arbresle;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;86;2.06;2.72
2022_pres_t1;2022;pres;1;69010;L'Arbresle;ZEMMOUR;EXD;Reconquete;Extreme droite;232;5.56;7.33
2022_pres_t1;2022;pres;1;69012;Les Ardillats;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;2;0.43;0.52
2022_pres_t1;2022;pres;1;69012;Les Ardillats;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;15;3.22;3.91
2022_pres_t1;2022;pres;1;69012;Les Ardillats;HIDALGO;SOC;Parti Socialiste;Gauche;5;1.07;1.3
2022_pres_t1;2022;pres;1;69012;Les Ardillats;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;24;5.15;6.25
2022_pres_t1;2022;pres;1;69012;Les Ardillats;LASSALLE;DIV;Resistons;Divers;7;1.5;1.82
2022_pres_t1;2022;pres;1;69012;Les Ardillats;LE PEN;RN;Rassemblement National;Extreme droite;103;22.1;26.82
2022_pres_t1;2022;pres;1;69012;Les Ardillats;MACRON;ENS;En Marche / Renaissance;Centre;109;23.39;28.39
2022_pres_t1;2022;pres;1;69012;Les Ardillats;MÉLENCHON;FI;La France Insoumise;Gauche radicale;63;13.52;16.41
2022_pres_t1;2022;pres;1;69012;Les Ardillats;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;6;1.29;1.56
2022_pres_t1;2022;pres;1;69012;Les Ardillats;PÉCRESSE;LR;Les Republicains;Droite;15;3.22;3.91
2022_pres_t1;2022;pres;1;69012;Les Ardillats;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;7;1.5;1.82
2022_pres_t1;2022;pres;1;69012;Les Ardillats;ZEMMOUR;EXD;Reconquete;Extreme droite;28;6.01;7.29
2022_pres_t1;2022;pres;1;69013;Arnas;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;8;0.28;0.36
2022_pres_t1;2022;pres;1;69013;Arnas;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;57;2.0;2.56
2022_pres_t1;2022;pres;1;69013;Arnas;HIDALGO;SOC;Parti Socialiste;Gauche;28;0.98;1.26
2022_pres_t1;2022;pres;1;69013;Arnas;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;100;3.52;4.5
2022_pres_t1;2022;pres;1;69013;Arnas;LASSALLE;DIV;Resistons;Divers;53;1.86;2.38
2022_pres_t1;2022;pres;1;69013;Arnas;LE PEN;RN;Rassemblement National;Extreme droite;599;21.07;26.93
2022_pres_t1;2022;pres;1;69013;Arnas;MACRON;ENS;En Marche / Renaissance;Centre;654;23.0;29.41
2022_pres_t1;2022;pres;1;69013;Arnas;MÉLENCHON;FI;La France Insoumise;Gauche radicale;355;12.49;15.96
2022_pres_t1;2022;pres;1;69013;Arnas;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;8;0.28;0.36
2022_pres_t1;2022;pres;1;69013;Arnas;PÉCRESSE;LR;Les Republicains;Droite;117;4.12;5.26
2022_pres_t1;2022;pres;1;69013;Arnas;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;45;1.58;2.02
2022_pres_t1;2022;pres;1;69013;Arnas;ZEMMOUR;EXD;Reconquete;Extreme droite;200;7.03;8.99
2022_pres_t1;2022;pres;1;69014;Aveize;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;4;0.5;0.63
2022_pres_t1;2022;pres;1;69014;Aveize;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;33;4.13;5.17
2022_pres_t1;2022;pres;1;69014;Aveize;HIDALGO;SOC;Parti Socialiste;Gauche;15;1.88;2.35
2022_pres_t1;2022;pres;1;69014;Aveize;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;38;4.76;5.96
2022_pres_t1;2022;pres;1;69014;Aveize;LASSALLE;DIV;Resistons;Divers;18;2.25;2.82
2022_pres_t1;2022;pres;1;69014;Aveize;LE PEN;RN;Rassemblement National;Extreme droite;165;20.65;25.86
2022_pres_t1;2022;pres;1;69014;Aveize;MACRON;ENS;En Marche / Renaissance;Centre;185;23.15;29.0
2022_pres_t1;2022;pres;1;69014;Aveize;MÉLENCHON;FI;La France Insoumise;Gauche radicale;99;12.39;15.52
2022_pres_t1;2022;pres;1;69014;Aveize;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;0.38;0.47
2022_pres_t1;2022;pres;1;69014;Aveize;PÉCRESSE;LR;Les Republicains;Droite;26;3.25;4.08
2022_pres_t1;2022;pres;1;69014;Aveize;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;12;1.5;1.88
2022_pres_t1;2022;pres;1;69014;Aveize;ZEMMOUR;EXD;Reconquete;Extreme droite;40;5.01;6.27
2022_pres_t1;2022;pres;1;69016;Azolette;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69016;Azolette;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;3;2.31;3.0
2022_pres_t1;2022;pres;1;69016;Azolette;HIDALGO;SOC;Parti Socialiste;Gauche;1;0.77;1.0
2022_pres_t1;2022;pres;1;69016;Azolette;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;1;0.77;1.0
2022_pres_t1;2022;pres;1;69016;Azolette;LASSALLE;DIV;Resistons;Divers;0;0.0;0.0
2022_pres_t1;2022;pres;1;69016;Azolette;LE PEN;RN;Rassemblement National;Extreme droite;31;23.85;31.0
2022_pres_t1;2022;pres;1;69016;Azolette;MACRON;ENS;En Marche / Renaissance;Centre;32;24.62;32.0
2022_pres_t1;2022;pres;1;69016;Azolette;MÉLENCHON;FI;La France Insoumise;Gauche radicale;8;6.15;8.0
2022_pres_t1;2022;pres;1;69016;Azolette;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69016;Azolette;PÉCRESSE;LR;Les Republicains;Droite;11;8.46;11.0
2022_pres_t1;2022;pres;1;69016;Azolette;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;4;3.08;4.0
2022_pres_t1;2022;pres;1;69016;Azolette;ZEMMOUR;EXD;Reconquete;Extreme droite;9;6.92;9.0
2022_pres_t1;2022;pres;1;69017;Bagnols;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;4;0.69;0.82
2022_pres_t1;2022;pres;1;69017;Bagnols;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;9;1.54;1.84
2022_pres_t1;2022;pres;1;69017;Bagnols;HIDALGO;SOC;Parti Socialiste;Gauche;6;1.03;1.23
2022_pres_t1;2022;pres;1;69017;Bagnols;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;25;4.29;5.11
2022_pres_t1;2022;pres;1;69017;Bagnols;LASSALLE;DIV;Resistons;Divers;14;2.4;2.86
2022_pres_t1;2022;pres;1;69017;Bagnols;LE PEN;RN;Rassemblement National;Extreme droite;116;19.9;23.72
2022_pres_t1;2022;pres;1;69017;Bagnols;MACRON;ENS;En Marche / Renaissance;Centre;148;25.39;30.27
2022_pres_t1;2022;pres;1;69017;Bagnols;MÉLENCHON;FI;La France Insoumise;Gauche radicale;79;13.55;16.16
2022_pres_t1;2022;pres;1;69017;Bagnols;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;0.51;0.61
2022_pres_t1;2022;pres;1;69017;Bagnols;PÉCRESSE;LR;Les Republicains;Droite;25;4.29;5.11
2022_pres_t1;2022;pres;1;69017;Bagnols;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;11;1.89;2.25
2022_pres_t1;2022;pres;1;69017;Bagnols;ZEMMOUR;EXD;Reconquete;Extreme droite;49;8.4;10.02
2022_pres_t1;2022;pres;1;69018;Beaujeu;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;7;0.54;0.72
2022_pres_t1;2022;pres;1;69018;Beaujeu;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;29;2.23;2.96
2022_pres_t1;2022;pres;1;69018;Beaujeu;HIDALGO;SOC;Parti Socialiste;Gauche;12;0.92;1.23
2022_pres_t1;2022;pres;1;69018;Beaujeu;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;40;3.08;4.09
2022_pres_t1;2022;pres;1;69018;Beaujeu;LASSALLE;DIV;Resistons;Divers;27;2.08;2.76
2022_pres_t1;2022;pres;1;69018;Beaujeu;LE PEN;RN;Rassemblement National;Extreme droite;309;23.81;31.56
2022_pres_t1;2022;pres;1;69018;Beaujeu;MACRON;ENS;En Marche / Renaissance;Centre;291;22.42;29.72
2022_pres_t1;2022;pres;1;69018;Beaujeu;MÉLENCHON;FI;La France Insoumise;Gauche radicale;121;9.32;12.36
2022_pres_t1;2022;pres;1;69018;Beaujeu;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;0.23;0.31
2022_pres_t1;2022;pres;1;69018;Beaujeu;PÉCRESSE;LR;Les Republicains;Droite;53;4.08;5.41
2022_pres_t1;2022;pres;1;69018;Beaujeu;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;21;1.62;2.15
2022_pres_t1;2022;pres;1;69018;Beaujeu;ZEMMOUR;EXD;Reconquete;Extreme droite;66;5.08;6.74
2022_pres_t1;2022;pres;1;69019;Belleville;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;29;0.34;0.47
2022_pres_t1;2022;pres;1;69019;Belleville-En-Beaujolais;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;29;0.34;0.47
2022_pres_t1;2022;pres;1;69019;Belleville;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;154;1.82;2.52
2022_pres_t1;2022;pres;1;69019;Belleville-En-Beaujolais;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;154;1.82;2.52
