id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69108;Lancié;589;299;290;10;280;49.24;50.76;1.7;47.54
2014_euro_t1;2014;euro;1;69;Rhône;69109;Lantignié;633;331;302;26;276;47.71;52.29;4.11;43.6
2014_euro_t1;2014;euro;1;69;Rhône;69110;Larajasse;1416;851;565;16;549;39.9;60.1;1.13;38.77
2014_euro_t1;2014;euro;1;69;Rhône;69111;Légny;455;274;181;4;177;39.78;60.22;0.88;38.9
2014_euro_t1;2014;euro;1;69;Rhône;69112;Lentilly;4196;2209;1987;44;1943;47.35;52.65;1.05;46.31
2014_euro_t1;2014;euro;1;69;Rhône;69113;Létra;598;321;277;10;267;46.32;53.68;1.67;44.65
2014_euro_t1;2014;euro;1;69;Rhône;69114;Liergues;1391;718;673;19;654;48.38;51.62;1.37;47.02
2014_euro_t1;2014;euro;1;69;Rhône;69115;Limas;3194;1673;1521;49;1472;47.62;52.38;1.53;46.09
2014_euro_t1;2014;euro;1;69;Rhône;69116;Limonest;2383;1132;1251;31;1220;52.5;47.5;1.3;51.2
2014_euro_t1;2014;euro;1;69;Rhône;69117;Lissieu;2520;1327;1193;28;1165;47.34;52.66;1.11;46.23
2014_euro_t1;2014;euro;1;69;Rhône;69118;Loire-Sur-Rhône;1796;1033;763;29;734;42.48;57.52;1.61;40.87
2014_euro_t1;2014;euro;1;69;Rhône;69119;Longes;751;448;303;15;288;40.35;59.65;2.0;38.35
2014_euro_t1;2014;euro;1;69;Rhône;69120;Longessaigne;437;233;204;12;192;46.68;53.32;2.75;43.94
2014_euro_t1;2014;euro;1;69;Rhône;69121;Lozanne;1761;997;764;20;744;43.38;56.62;1.14;42.25
2014_euro_t1;2014;euro;1;69;Rhône;69122;Lucenay;1296;674;622;25;597;47.99;52.01;1.93;46.06
2014_euro_t1;2014;euro;1;69;Rhône;69123;Lyon;261260;134004;127256;2145;125111;48.71;51.29;0.82;47.89
2014_euro_t1;2014;euro;1;69;Rhône;69124;Marchampt;370;202;168;10;158;45.41;54.59;2.7;42.7
2014_euro_t1;2014;euro;1;69;Rhône;69125;Marcilly-D'Azergues;703;338;365;10;355;51.92;48.08;1.42;50.5
2014_euro_t1;2014;euro;1;69;Rhône;69126;Marcy;565;228;337;6;331;59.65;40.35;1.06;58.58
2014_euro_t1;2014;euro;1;69;Rhône;69127;Marcy-L'Etoile;2249;1164;1085;21;1064;48.24;51.76;0.93;47.31
2014_euro_t1;2014;euro;1;69;Rhône;69130;Meaux-La-Montagne;194;90;104;5;99;53.61;46.39;2.58;51.03
2014_euro_t1;2014;euro;1;69;Rhône;69131;Messimy;2479;1310;1169;27;1142;47.16;52.84;1.09;46.07
2014_euro_t1;2014;euro;1;69;Rhône;69132;Meys;593;307;286;15;271;48.23;51.77;2.53;45.7
2014_euro_t1;2014;euro;1;69;Rhône;69133;Millery;3014;1601;1413;38;1375;46.88;53.12;1.26;45.62
2014_euro_t1;2014;euro;1;69;Rhône;69134;Moiré;172;69;103;10;93;59.88;40.12;5.81;54.07
2014_euro_t1;2014;euro;1;69;Rhône;69135;Monsols;601;320;281;10;271;46.76;53.24;1.66;45.09
2014_euro_t1;2014;euro;1;69;Rhône;69136;Montagny;1808;979;829;20;809;45.85;54.15;1.11;44.75
2014_euro_t1;2014;euro;1;69;Rhône;69137;Montmelas-Saint-Sorlin;264;121;143;9;134;54.17;45.83;3.41;50.76
2014_euro_t1;2014;euro;1;69;Rhône;69138;Montromant;333;168;165;7;158;49.55;50.45;2.1;47.45
2014_euro_t1;2014;euro;1;69;Rhône;69139;Montrottier;1099;631;468;22;446;42.58;57.42;2.0;40.58
2014_euro_t1;2014;euro;1;69;Rhône;69140;Morancé;1555;792;763;20;743;49.07;50.93;1.29;47.78
2014_euro_t1;2014;euro;1;69;Rhône;69141;Mornant;4078;1986;2092;41;2051;51.3;48.7;1.01;50.29
2014_euro_t1;2014;euro;1;69;Rhône;69142;La Mulatière;3908;2234;1674;34;1640;42.84;57.16;0.87;41.97
2014_euro_t1;2014;euro;1;69;Rhône;69143;Neuville-Sur-Saône;4551;2796;1755;42;1713;38.56;61.44;0.92;37.64
2014_euro_t1;2014;euro;1;69;Rhône;69145;Odenas;584;311;273;4;269;46.75;53.25;0.68;46.06
2014_euro_t1;2014;euro;1;69;Rhône;69146;Oingt;544;244;300;13;287;55.15;44.85;2.39;52.76
2014_euro_t1;2014;euro;1;69;Rhône;69147;Les Olmes;671;402;269;15;254;40.09;59.91;2.24;37.85
2014_euro_t1;2014;euro;1;69;Rhône;69148;Orliénas;1653;821;832;19;813;50.33;49.67;1.15;49.18
2014_euro_t1;2014;euro;1;69;Rhône;69149;Oullins;16104;9007;7097;178;6919;44.07;55.93;1.11;42.96
2014_euro_t1;2014;euro;1;69;Rhône;69150;Ouroux;249;108;141;4;137;56.63;43.37;1.61;55.02
