code_commune;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022
69205;2489.77906752648;148.996860580868;2340.78220694561;717.264409528244;5.98
69206;2258.94549148848;188.279985051749;2070.66550643673;580.489587322204;8.33
69207;1497.90373986512;144.470710488145;1353.43302937698;355.703422328785;9.64
69208;1098.97074853865;56.5448740934518;1042.4258744452;263.185224026672;5.15
69209;201.387413267566;9.94768712504661;191.439726142519;77.8164939670122;4.94
69212;212.239897722646;16.5022179307566;195.73767979189;52.1956293712472;7.78
69214;565.217133049265;38.3942485301716;526.822884519093;176.310721973862;6.79
69215;430.946256345759;20.5519413846937;410.394314961065;119.657704352009;4.77
69216;296.17037444059;17.5760714042311;278.594303036359;70.016021423561;5.93
69217;349.082351233919;20.0102693981861;329.072081835733;90.8452360531316;5.73
69218;538.230183381815;25.2147437905505;513.015439591264;99.5593377972789;4.68
69219;1067.78067301194;63.1650831949352;1004.615589817;260.43958431566;5.92
69220;892.731215715975;57.6876225217757;835.043593194199;232.759367608802;6.46
69225;259.303965622796;9.72052077748134;249.583444845315;71.8069215583115;3.75
69227;1852.97217241259;82.2493696299293;1770.72280278267;437.956417434594;4.44
69228;2133.0;117.0;2016.0;523.0;5.49
69229;359.0;24.0;335.0;85.0;6.69
69230;162.992737219553;6.87950813139127;156.113229088162;45.9153065202158;4.22
69231;1317.25196313629;100.535729769285;1216.716233367;295.230604846732;7.63
69233;601.085481657791;48.2161493704224;552.869332287369;163.528187757783;8.02
69234;862.0;50.0;812.0;213.0;5.8
69235;937.054098513275;77.640276777453;859.413821735822;274.218233440915;8.29
69236;295.989098850128;19.0602692182248;276.928829631904;68.2272030067651;6.44
69238;1594.95232305867;117.559119387444;1477.39320367123;454.566241202425;7.37
69239;587.0;20.0;567.0;126.0;3.41
69240;260.578955968583;10.8061028064062;249.772853162177;92.7941300356147;4.15
69241;1312.33810437055;59.1461875825489;1253.19191678801;281.796249613866;4.51
69242;481.003273797786;41.643093655639;439.360180142147;106.828528022886;8.66
69243;4594.26975753726;686.359400612585;3907.91035692467;1667.94215037769;14.94
69244;11194.1211325738;1147.54747900982;10046.5736535639;3066.71413291894;10.25
