code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69071;1186;1170;500.882143945294;487.211618257262;472.550238355309;453.000000000001;21.2489291924886;24.149377593361;3.03;391.42;386.14
69072;8980;8617;4006.39852891834;3586.32272069472;3506.63499138304;3263.00000000007;293.675480819708;220.584659913169;13.99;641.89;615.94
69074;1574;1467;716.370252001748;635.375558867097;648.20112448497;571.999999999735;39.6805369127516;38.2265275707899;9.53;165.16;153.93
69075;196;194;87.8830913828401;82.8412935773938;70.9145728643216;66.3968491329494;6.36319444444444;7.30864197530864;9.05;21.66;21.44
69076;2607;2580;1110.13270550661;1069.82467606161;1069.80602914753;1018.4588943507;25.1215360925393;37.1959108941105;7.22;361.08;357.34
69077;1178;957;456.0;381.0;433.0;347.0;16.0;24.0;14.87;79.22;64.36
69078;842;823;374.0;366.0;335.0;313.0;26.0;36.0;11.41;73.79;72.13
69080;1940;1771;775.0;697.0;737.0;643.0;30.0;42.0;20.95;92.6;84.53
69081;18019;18097;9126.33689528615;8239.6897823113;8023.66546262822;7362.7016689269;818.002729535468;698.465369669904;8.45;2132.43;2141.66
69082;278;251;155.096138672222;137.891791044776;122.853472005555;109.578358208955;15.5654252873564;12.8697421981004;3.01;92.36;83.39
69083;1169;1186;475.179605119263;465.060728744938;447.476623517552;434.999999999999;11.2863999118079;17.0344129554656;3.32;352.11;357.23
69084;1351;1256;765.761421154594;714.462796635978;612.101950480931;571.356862745098;85.5040602942157;85.1611999227937;13.94;96.92;90.1
69085;1549;1435;666.221256546314;615.00427087413;620.738375228622;564.590163934426;38.8268499053468;31.782806548944;2.91;532.3;493.13
69086;2299;2356;1018.10046621448;946.959247648907;940.49348659796;892.000000000004;56.9117850521116;37.6572622779519;9.51;241.75;247.74
69087;3070;3070;1254.76108132692;1157.52838286178;1145.43743460327;1090.42596029202;95.6581908831909;57.6513771374028;2.74;1120.44;1120.44
69088;7005;7001;3547.24115894435;3420.57189058751;3307.87898542966;3116.9999999671;210.196194388956;260.497500735078;2.32;3019.4;3017.67
69089;15664;14278;6634.30088195192;6014.11407436741;6292.57232460149;5685.72468955204;267.475574921817;265.238746185194;8.18;1914.91;1745.48
69090;905;818;374.0;341.0;343.0;309.0;15.0;20.0;3.42;264.62;239.18
69091;20943;19312;9261.34787161884;8584.33787142784;8385.70474383248;7800.37977528547;787.393159062713;714.817419185914;17.34;1207.79;1113.73
69092;7824;7473;3684.83792150028;3426.58413401255;3341.84296932818;3144.42810564376;309.532030008973;252.258700859518;10.46;747.99;714.44
69093;1212;1163;675.802963144156;648.925882003338;511.369114412341;480.811989023465;106.829634207931;89.72370692746;15.22;79.63;76.41
69094;6284;5629;2874.52036681314;2538.76741659938;2678.91466391395;2361.53696392448;151.827283678896;147.191392899491;7.45;843.49;755.57
69095;831;809;393.691999501357;374.209634407412;342.337150585046;323.205846528624;32.5905771968894;30.6022727272727;11.49;72.32;70.41
69096;9941;9615;4256.87655157857;4173.03615936832;4016.52702828091;3882.41299940757;207.902337652476;276.000611031903;5.75;1728.87;1672.17
69097;739;791;314.084264606305;326.528990893262;300.363946316448;300.280543688293;1.96004546997948;9.72164711295146;15.97;46.27;49.53
69098;481;493;222.0;217.0;205.0;185.0;9.0;20.0;3.09;155.66;159.55
69099;1425;1450;707.0;679.0;590.0;564.0;67.0;73.0;20.29;70.23;71.46
69100;8909;8609;3846.14574587685;3598.67595914981;3588.18197307051;3412.99999999993;211.245924187871;153.384487993376;8.84;1007.81;973.87
69102;753;683;329.839876230982;329.397553516822;304.624976517515;264.000000000002;14.1203438395415;51.3119266055046;25.18;29.9;27.12
69103;883;915;498.0;497.0;409.0;391.0;47.0;72.0;7.56;116.8;121.03
69104;496;439;280.0;283.0;223.0;191.0;25.0;55.0;9.88;50.2;44.43
69105;1029;948;484.494542119194;395.873134328348;440.9418058557;355.99999999999;26.5565465021305;23.5149253731343;3.36;306.25;282.14
69106;1334;1086;526.470916394379;448.712962962964;494.120251076308;410.000000000001;21.1952634842539;29.2962962962963;3.53;377.9;307.65
69107;1051;1048;556.258205803123;551.095062950094;461.597890986199;438.822172465354;37.4238453927373;60.6880489106701;15.61;67.33;67.14
69108;1082;1020;507.623783582477;469.987777411682;442.505940599579;402.605288932419;39.9109360217762;38.0857543578441;6.6;163.94;154.55
69109;851;887;432.140320373011;404.301339285713;363.135500713035;358.999999999999;41.6058471479264;13.0870535714286;7.4;115.0;119.86
69110;1820;1857;931.0;871.0;773.0;726.0;101.0;82.0;33.61;54.15;55.25
69111;699;664;297.75552227615;286.408450704222;257.851470368468;256.999999999997;27.6258820899338;15.2112676056338;3.97;176.07;167.25
69112;6541;5450;2897.39051789976;2265.79422382648;2760.82794326562;2121.99999999977;106.785772646246;106.788357400722;18.39;355.68;296.36
69113;907;932;398.063049346024;372.999999999247;346.120632638066;316.999999999247;30.5543627693868;34.0;14.64;61.95;63.66
69114;4079;3686;1724.70403855998;1502.1959280303;1587.2392621616;1384.5803030303;92.5596161082473;62.5001994680851;13.33;306.0;276.52
69115;4749;4754;2126.0;2006.0;1975.0;1887.0;129.0;105.0;5.52;860.33;861.23
69116;3933;3675;1854.0;1625.0;1584.0;1458.0;224.0;113.0;8.39;468.77;438.02
69117;3193;3116;1439.71197802024;1323.8455821635;1249.11529448173;1173.0;73.5454594088844;38.4706853839802;5.66;564.13;550.53
69118;2736;2559;1209.0;1132.0;1140.0;1036.0;57.0;81.0;16.6;164.82;154.16
69119;951;961;432.779710532864;418.267858314265;366.63075402309;352.807540853948;46.8131076838405;46.8969438521677;24.06;39.53;39.94
69120;592;597;306.314574034851;302.469696969698;239.801262000772;236.18686868687;33.2566560170394;35.9031986531987;11.92;49.66;50.08
69121;3182;2639;1487.0;1194.0;1422.0;1119.0;52.0;57.0;5.5;578.55;479.82
69122;2068;1820;900.134303422171;749.730117340288;817.234502007506;693.000000000001;60.5806241107164;27.3520208604954;6.27;329.82;290.27
69123;520774;515695;318612.386117437;299288.617738858;271602.389849654;262084.630658176;28461.0613889933;24458.3144563153;47.87;10878.92;10772.82
69124;452;455;282.310414611707;279.890637140637;213.693709890242;207.80303030303;26.8500148910083;35.5058362035974;17.74;25.48;25.65
69125;1004;870;453.349990611814;404.846244725738;417.387226191895;368.88;27.97103899327;27.5035989079176;4.18;240.19;208.13
69126;879;709;385.0;306.0;352.0;273.0;19.0;15.0;3.33;263.96;212.91
69127;3711;3736;1602.13553686566;1733.95634094725;1383.44174131564;1572.99999999091;74.2733645264211;37.6923076923077;5.37;691.06;695.72
69130;226;239;145.0;146.0;96.0;98.0;21.0;8.0;9.19;24.59;26.01
69131;3565;3371;1570.67316324437;1411.07730147575;1456.50379437352;1336.99999999999;82.1592654491182;52.767392832045;11.1;321.17;303.69
