code_commune;libelle_commune;annee;total_delits
69089;Francheville;2017;532.0
69089;Francheville;2022;578.0
69089;Francheville;2024;625.0
69090;Frontenas;2017;0.0
69090;Frontenas;2022;0.0
69090;Frontenas;2024;0.0
69091;Givors;2017;1409.0
69091;Givors;2022;1427.0
69091;Givors;2024;1663.0
69092;Gleizé;2017;282.0
69092;Gleizé;2022;292.0
69092;Gleizé;2024;362.0
69093;Grandris;2017;12.0
69093;Grandris;2022;9.0
69093;Grandris;2024;11.0
69094;Grézieu-la-Varenne;2017;144.0
69094;Grézieu-la-Varenne;2022;195.0
69094;Grézieu-la-Varenne;2024;212.0
69095;Grézieu-le-Marché;2017;0.0
69095;Grézieu-le-Marché;2022;0.0
69095;Grézieu-le-Marché;2024;0.0
69096;Grigny-sur-Rhône;2017;372.0
69096;Grigny-sur-Rhône;2022;391.0
69096;Grigny-sur-Rhône;2024;422.0
69097;Les Haies;2017;6.0
69097;Les Haies;2022;8.0
69097;Les Haies;2024;0.0
69098;Les Halles;2017;0.0
69098;Les Halles;2022;0.0
69098;Les Halles;2024;5.0
69099;Haute-Rivoire;2017;0.0
69099;Haute-Rivoire;2022;0.0
69099;Haute-Rivoire;2024;0.0
69100;Irigny;2017;342.0
69100;Irigny;2022;399.0
69100;Irigny;2024;377.0
69102;Joux;2017;0.0
69102;Joux;2022;0.0
69102;Joux;2024;0.0
69103;Juliénas;2017;0.0
69103;Juliénas;2022;7.0
69103;Juliénas;2024;8.0
69104;Jullié;2017;0.0
69104;Jullié;2022;0.0
69104;Jullié;2024;0.0
69105;Lacenas;2017;0.0
69105;Lacenas;2022;0.0
69105;Lacenas;2024;0.0
69106;Lachassagne;2017;0.0
69106;Lachassagne;2022;6.0
69106;Lachassagne;2024;10.0
69107;Lamure-sur-Azergues;2017;5.0
69107;Lamure-sur-Azergues;2022;11.0
69107;Lamure-sur-Azergues;2024;23.0
69108;Lancié;2017;0.0
69108;Lancié;2022;0.0
69108;Lancié;2024;0.0
69109;Lantignié;2017;0.0
69109;Lantignié;2022;0.0
69109;Lantignié;2024;5.0
69110;Larajasse;2017;0.0
69110;Larajasse;2022;7.0
69110;Larajasse;2024;7.0
69111;Légny;2017;0.0
69111;Légny;2022;0.0
69111;Légny;2024;0.0
69112;Lentilly;2017;159.0
69112;Lentilly;2022;239.0
69112;Lentilly;2024;241.0
69113;Létra;2017;0.0
69113;Létra;2022;0.0
69113;Létra;2024;0.0
69114;Porte des Pierres Dorées;2017;31.0
69114;Porte des Pierres Dorées;2022;65.0
69114;Porte des Pierres Dorées;2024;63.0
69115;Limas;2017;304.0
69115;Limas;2022;230.0
69115;Limas;2024;225.0
69116;Limonest;2017;182.0
69116;Limonest;2022;231.0
69116;Limonest;2024;242.0
69117;Lissieu;2017;62.0
69117;Lissieu;2022;81.0
69117;Lissieu;2024;67.0
69118;Loire-sur-Rhône;2017;74.0
69118;Loire-sur-Rhône;2022;38.0
69118;Loire-sur-Rhône;2024;37.0
69119;Longes;2017;0.0
69119;Longes;2022;0.0
69119;Longes;2024;0.0
69120;Longessaigne;2017;0.0
69120;Longessaigne;2022;0.0
69120;Longessaigne;2024;0.0
69121;Lozanne;2017;76.0
69121;Lozanne;2022;92.0
69121;Lozanne;2024;100.0
69122;Lucenay;2017;22.0
69122;Lucenay;2022;49.0
69122;Lucenay;2024;44.0
69123;Lyon;2017;54699.0
69123;Lyon;2022;59211.0
69123;Lyon;2024;53462.0
69124;Marchampt;2017;0.0
69124;Marchampt;2022;0.0
69124;Marchampt;2024;0.0
69125;Marcilly-d'Azergues;2017;0.0
69125;Marcilly-d'Azergues;2022;6.0
69125;Marcilly-d'Azergues;2024;0.0
69126;Marcy;2017;0.0
69126;Marcy;2022;0.0
69126;Marcy;2024;5.0
69127;Marcy-l'Étoile;2017;123.0
69127;Marcy-l'Étoile;2022;80.0
69127;Marcy-l'Étoile;2024;61.0
69130;Meaux-la-Montagne;2017;0.0
69130;Meaux-la-Montagne;2022;0.0
69130;Meaux-la-Montagne;2024;0.0
69131;Messimy;2017;51.0
69131;Messimy;2022;62.0
69131;Messimy;2024;71.0
69132;Meys;2017;0.0
69132;Meys;2022;0.0
69132;Meys;2024;7.0
69133;Millery;2017;124.0
69133;Millery;2022;140.0
69133;Millery;2024;113.0
69134;Moiré;2017;0.0
69134;Moiré;2022;0.0
69134;Moiré;2024;0.0
69135;Deux-Grosnes;2017;6.0
69135;Deux-Grosnes;2022;18.0
69135;Deux-Grosnes;2024;23.0
69136;Montagny;2017;81.0
69136;Montagny;2022;56.0
69136;Montagny;2024;73.0
69137;Montmelas-Saint-Sorlin;2017;0.0
69137;Montmelas-Saint-Sorlin;2022;0.0
69137;Montmelas-Saint-Sorlin;2024;0.0
69138;Montromant;2017;0.0
69138;Montromant;2022;0.0
69138;Montromant;2024;0.0
69139;Montrottier;2017;0.0
69139;Montrottier;2022;5.0
69139;Montrottier;2024;0.0
69140;Morancé;2017;9.0
69140;Morancé;2022;44.0
69140;Morancé;2024;21.0
69141;Mornant;2017;200.0
69141;Mornant;2022;183.0
69141;Mornant;2024;233.0
69142;La Mulatière;2017;387.0
69142;La Mulatière;2022;447.0
69142;La Mulatière;2024;402.0
69143;Neuville-sur-Saône;2017;318.0
69143;Neuville-sur-Saône;2022;435.0
69143;Neuville-sur-Saône;2024;448.0
69145;Odenas;2017;0.0
69145;Odenas;2022;0.0
69145;Odenas;2024;0.0
69148;Orliénas;2017;28.0
69148;Orliénas;2022;47.0
69148;Orliénas;2024;41.0
69149;Oullins-Pierre-Bénite;2017;2329.0
69149;Oullins-Pierre-Bénite;2022;2158.0
69149;Oullins-Pierre-Bénite;2024;1951.0
69151;Le Perréon;2017;0.0
69151;Le Perréon;2022;5.0
69151;Le Perréon;2024;6.0
69153;Poleymieux-au-Mont-d'Or;2017;23.0
69153;Poleymieux-au-Mont-d'Or;2022;21.0
69153;Poleymieux-au-Mont-d'Or;2024;22.0
69154;Pollionnay;2017;25.0
69154;Pollionnay;2022;62.0
69154;Pollionnay;2024;39.0
69155;Pomeys;2017;0.0
69155;Pomeys;2022;0.0
69155;Pomeys;2024;0.0
69156;Pommiers;2017;29.0
69156;Pommiers;2022;37.0
69156;Pommiers;2024;80.0
69157;Vindry-sur-Turdine;2017;68.0
69157;Vindry-sur-Turdine;2022;103.0
69157;Vindry-sur-Turdine;2024;154.0
69160;Poule-les-Écharmeaux;2017;0.0
69160;Poule-les-Écharmeaux;2022;0.0
69160;Poule-les-Écharmeaux;2024;8.0
69161;Propières;2017;0.0
69161;Propières;2022;0.0
69161;Propières;2024;0.0
69162;Quincié-en-Beaujolais;2017;0.0
69162;Quincié-en-Beaujolais;2022;0.0
69162;Quincié-en-Beaujolais;2024;9.0
69163;Quincieux;2017;64.0
69163;Quincieux;2022;90.0
69163;Quincieux;2024;84.0
69164;Ranchal;2017;0.0
69164;Ranchal;2022;0.0
69164;Ranchal;2024;0.0
69165;Régnié-Durette;2017;0.0
69165;Régnié-Durette;2022;8.0
69165;Régnié-Durette;2024;5.0
69166;Riverie;2017;0.0
69166;Riverie;2022;0.0
69166;Riverie;2024;0.0
69167;Rivolet;2017;0.0
69167;Rivolet;2022;0.0
69167;Rivolet;2024;0.0
69168;Rochetaillée-sur-Saône;2017;38.0
69168;Rochetaillée-sur-Saône;2022;68.0
69168;Rochetaillée-sur-Saône;2024;57.0
69169;Ronno;2017;0.0
69169;Ronno;2022;0.0
69169;Ronno;2024;0.0
69170;Rontalon;2017;0.0
69170;Rontalon;2022;0.0
69170;Rontalon;2024;7.0
69171;Sain-Bel;2017;40.0
69171;Sain-Bel;2022;50.0
69171;Sain-Bel;2024;76.0
