code_commune;revenu_median_2021;d1_revenu_2021;d9_revenu_2021;ratio_interdecile_2021;part_chomeurs_2021;part_foyers_imposes_2021;nb_menages_2021;nb_personnes_menages_2021
69145;23900.0;15500.0;45225.0;3.05;2.6;-18.35;355.0;922.0
69148;30280.0;17110.0;52020.0;3.0;2.0;-21.0;1025.0;2640.0
69149;24040.0;12530.0;39500.0;3.2;3.1;-16.2;12189.0;25270.0
69151;24720.0;15500.0;45225.0;3.05;2.6;-18.35;561.0;1370.0
69152;21270.0;11050.0;34700.0;3.1;3.6;-13.7;4383.0;10284.0
69153;35970.0;15500.0;45225.0;3.05;2.6;-18.35;400.0;1074.0
69154;28690.0;16550.0;50150.0;3.0;3.0;-19.1;1121.0;2756.0
69155;25480.0;15500.0;45225.0;3.05;2.6;-18.35;434.0;1120.0
69156;30730.0;18660.0;53300.0;2.9;2.7;-21.9;1045.0;2688.0
69157;25190.0;15980.0;39720.0;2.5;2.3;-15.8;2195.0;5428.0
69159;27510.0;17340.0;46130.0;2.7;1.8;-18.9;1527.0;3968.0
69160;23210.0;15500.0;45225.0;3.05;2.6;-18.35;453.0;1053.0
69161;20760.0;15500.0;45225.0;3.05;2.6;-18.35;215.0;418.0
69162;23660.0;15500.0;45225.0;3.05;2.6;-18.35;583.0;1368.0
69163;26670.0;16410.0;42080.0;2.6;2.4;-16.5;1353.0;3465.0
69164;21590.0;15500.0;45225.0;3.05;2.6;-18.35;152.0;298.0
69165;24530.0;15500.0;45225.0;3.05;2.6;-18.35;443.0;1072.0
69166;25620.0;15500.0;45225.0;3.05;2.6;-18.35;102.0;256.0
69167;25220.0;15500.0;45225.0;3.05;2.6;-18.35;230.0;583.0
69168;29240.0;15500.0;45225.0;3.05;2.6;-18.35;565.0;1500.0
69169;23420.0;15500.0;45225.0;3.05;2.6;-18.35;271.0;636.0
69170;25080.0;15500.0;45225.0;3.05;2.6;-18.35;455.0;1132.0
69171;24670.0;13730.0;40080.0;2.9;3.1;-15.9;1111.0;2527.0
69172;26240.0;15500.0;45225.0;3.05;2.6;-18.35;323.0;807.0
69173;27830.0;15500.0;45225.0;3.05;2.6;-18.35;419.0;1020.0
69174;23270.0;15500.0;45225.0;3.05;2.6;-18.35;247.0;609.0
69175;26350.0;15580.0;42830.0;2.7;2.4;-16.6;832.0;2039.0
69176;27650.0;16720.0;43650.0;2.6;2.2;-17.4;1716.0;4460.0
69177;28150.0;17840.0;44960.0;2.5;2.6;-17.2;826.0;2132.0
69178;22510.0;15500.0;45225.0;3.05;2.6;-18.35;295.0;707.0
69179;27940.0;17910.0;44400.0;2.5;2.2;-17.8;1613.0;4169.0
69180;25880.0;15500.0;45225.0;3.05;2.6;-18.35;112.0;248.0
69181;23190.0;15500.0;45225.0;3.05;2.6;-18.35;76.0;195.0
69182;20380.0;15500.0;45225.0;3.05;2.6;-18.35;179.0;354.0
69183;20390.0;15500.0;45225.0;3.05;2.6;-18.35;143.0;293.0
69184;25380.0;15500.0;45225.0;3.05;2.6;-18.35;425.0;1022.0
69186;21850.0;15500.0;45225.0;3.05;2.6;-18.35;92.0;199.0
69187;23090.0;15500.0;45225.0;3.05;2.6;-18.35;289.0;689.0
69188;23400.0;15500.0;45225.0;3.05;2.6;-18.35;324.0;818.0
69189;24540.0;13320.0;44910.0;3.4;2.5;-19.4;1052.0;2017.0
69190;30200.0;17690.0;53530.0;3.0;2.6;-21.8;854.0;2177.0
69191;40340.0;16070.0;98480.0;6.1;2.3;-29.1;2320.0;5898.0
69192;25650.0;15500.0;45225.0;3.05;2.6;-18.35;59.0;147.0
69193;31000.0;15500.0;45225.0;3.05;2.6;-18.35;493.0;1310.0
69194;42270.0;19880.0;99840.0;5.0;2.2;-30.6;2765.0;7133.0
69196;23770.0;15500.0;45225.0;3.05;2.6;-18.35;249.0;570.0
69197;25040.0;15570.0;38630.0;2.5;2.1;-15.8;871.0;2201.0
69198;25860.0;15500.0;45225.0;3.05;2.6;-18.35;294.0;719.0
69199;16880.0;9350.0;28390.0;3.0;4.7;-10.4;6639.0;16898.0
69200;24220.0;15500.0;45225.0;3.05;2.6;-18.35;669.0;1598.0
69201;20920.0;15500.0;45225.0;3.05;2.6;-18.35;591.0;1173.0
69202;28780.0;14250.0;58940.0;4.1;2.5;-23.1;9650.0;21747.0
69203;23380.0;15500.0;45225.0;3.05;2.6;-18.35;391.0;901.0
69204;26810.0;13790.0;48670.0;3.5;2.4;-19.6;8896.0;21267.0
69205;30290.0;16230.0;51400.0;3.2;2.3;-20.3;2082.0;5319.0
69206;25200.0;15450.0;41350.0;2.7;2.1;-17.4;1851.0;4436.0
69207;27110.0;14670.0;46920.0;3.2;3.3;-18.8;1206.0;2983.0
69208;28890.0;18950.0;49660.0;2.6;2.6;-18.9;861.0;2298.0
69209;22390.0;15500.0;45225.0;3.05;2.6;-18.35;253.0;495.0
69212;30230.0;15500.0;45225.0;3.05;2.6;-18.35;197.0;490.0
69214;23570.0;15500.0;45225.0;3.05;2.6;-18.35;468.0;1179.0
69215;27530.0;15500.0;45225.0;3.05;2.6;-18.35;362.0;901.0
69216;23150.0;15500.0;45225.0;3.05;2.6;-18.35;249.0;616.0
69217;23590.0;15500.0;45225.0;3.05;2.6;-18.35;341.0;769.0
69218;24660.0;15500.0;45225.0;3.05;2.6;-18.35;436.0;1056.0
69219;29190.0;18370.0;48190.0;2.6;2.2;-19.3;879.0;2179.0
69220;24060.0;15500.0;45225.0;3.05;2.6;-18.35;838.0;1789.0
69225;24570.0;15500.0;45225.0;3.05;2.6;-18.35;224.0;548.0
69227;24790.0;15180.0;39050.0;2.6;2.1;-15.7;1585.0;3691.0
69228;25960.0;15540.0;43690.0;2.8;2.7;-16.5;1737.0;4319.0
69229;22220.0;15500.0;45225.0;3.05;2.6;-18.35;316.0;758.0
69230;24300.0;15500.0;45225.0;3.05;2.6;-18.35;128.0;330.0
69231;26870.0;17340.0;41950.0;2.4;2.2;-16.4;1119.0;2713.0
69233;35130.0;15500.0;45225.0;3.05;2.6;-18.35;462.0;1209.0
69234;26410.0;15500.0;45225.0;3.05;2.6;-18.35;688.0;1753.0
69235;24390.0;15500.0;45225.0;3.05;2.6;-18.35;849.0;1916.0
