code_commune;revenu_median_2017;taux_pauvrete_2017;part_chomeurs_2017;part_foyers_imposes_2017;d1_revenu_2017;d9_revenu_2017;ratio_interdecile_2017
69155;23280.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69156;28050.0;9.45;2.0;73.0;17040.0;49410.0;2.9
69157;23320.0;5.0;2.7;58.0;14720.0;37750.0;2.6
69159;24740.0;6.0;2.4;64.0;15130.0;42480.0;2.8
69160;20380.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69161;18250.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69162;22040.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69163;23870.0;9.45;2.9;62.0;15310.0;38050.0;2.5
69164;19910.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69165;22360.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69166;23310.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69167;22560.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69168;26150.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69169;21690.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69170;22950.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69171;23190.0;10.0;3.5;58.0;12970.0;37810.0;2.9
69172;24170.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69173;24760.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69174;20420.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69175;24160.0;9.45;2.0;64.0;14240.0;39710.0;2.8
69176;25270.0;5.0;2.5;66.0;15090.0;39910.0;2.6
69177;25260.0;9.45;2.6;64.0;16530.0;40150.0;2.4
69178;21090.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69179;25750.0;5.0;2.4;67.0;15790.0;40770.0;2.6
69180;23670.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69181;22140.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69182;18900.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69183;20030.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69184;23430.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69186;21250.0;9.45;2.7;65.0;14235.0;41635.0;3.0
