id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2017_pres_t1;2017;pres;1;69012;Les Ardillats;HAMON;SOC;Parti Socialiste;Gauche;27;5.31;6.38
2017_pres_t1;2017;pres;1;69012;Les Ardillats;LASSALLE;DIV;Resistons;Divers;2;0.39;0.47
2017_pres_t1;2017;pres;1;69012;Les Ardillats;LE PEN;RN;Rassemblement National;Extreme droite;126;24.8;29.79
2017_pres_t1;2017;pres;1;69012;Les Ardillats;MACRON;ENS;En Marche / Renaissance;Centre;82;16.14;19.39
2017_pres_t1;2017;pres;1;69012;Les Ardillats;MÉLENCHON;FI;La France Insoumise;Gauche radicale;60;11.81;14.18
2017_pres_t1;2017;pres;1;69012;Les Ardillats;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;6;1.18;1.42
2017_pres_t1;2017;pres;1;69013;Arnas;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;9;0.34;0.44
2017_pres_t1;2017;pres;1;69013;Arnas;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;14;0.53;0.69
2017_pres_t1;2017;pres;1;69013;Arnas;CHEMINADE;DIV;Solidarite et Progres;Divers;3;0.11;0.15
2017_pres_t1;2017;pres;1;69013;Arnas;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;115;4.35;5.65
2017_pres_t1;2017;pres;1;69013;Arnas;FILLON;LR;Les Republicains;Droite;484;18.31;23.77
2017_pres_t1;2017;pres;1;69013;Arnas;HAMON;SOC;Parti Socialiste;Gauche;98;3.71;4.81
2017_pres_t1;2017;pres;1;69013;Arnas;LASSALLE;DIV;Resistons;Divers;15;0.57;0.74
2017_pres_t1;2017;pres;1;69013;Arnas;LE PEN;RN;Rassemblement National;Extreme droite;589;22.28;28.93
2017_pres_t1;2017;pres;1;69013;Arnas;MACRON;ENS;En Marche / Renaissance;Centre;413;15.62;20.28
2017_pres_t1;2017;pres;1;69013;Arnas;MÉLENCHON;FI;La France Insoumise;Gauche radicale;286;10.82;14.05
2017_pres_t1;2017;pres;1;69013;Arnas;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;10;0.38;0.49
2017_pres_t1;2017;pres;1;69014;Aveize;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;9;1.15;1.36
2017_pres_t1;2017;pres;1;69014;Aveize;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;8;1.02;1.21
2017_pres_t1;2017;pres;1;69014;Aveize;CHEMINADE;DIV;Solidarite et Progres;Divers;1;0.13;0.15
2017_pres_t1;2017;pres;1;69014;Aveize;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;84;10.69;12.69
2017_pres_t1;2017;pres;1;69014;Aveize;FILLON;LR;Les Republicains;Droite;121;15.39;18.28
2017_pres_t1;2017;pres;1;69014;Aveize;HAMON;SOC;Parti Socialiste;Gauche;48;6.11;7.25
2017_pres_t1;2017;pres;1;69014;Aveize;LASSALLE;DIV;Resistons;Divers;5;0.64;0.76
2017_pres_t1;2017;pres;1;69014;Aveize;LE PEN;RN;Rassemblement National;Extreme droite;159;20.23;24.02
2017_pres_t1;2017;pres;1;69014;Aveize;MACRON;ENS;En Marche / Renaissance;Centre;145;18.45;21.9
2017_pres_t1;2017;pres;1;69014;Aveize;MÉLENCHON;FI;La France Insoumise;Gauche radicale;82;10.43;12.39
2017_pres_t1;2017;pres;1;69014;Aveize;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2017_pres_t1;2017;pres;1;69015;Avenas;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.87;1.05
2017_pres_t1;2017;pres;1;69015;Avenas;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;3;2.61;3.16
2017_pres_t1;2017;pres;1;69015;Avenas;CHEMINADE;DIV;Solidarite et Progres;Divers;0;0.0;0.0
2017_pres_t1;2017;pres;1;69015;Avenas;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;7;6.09;7.37
2017_pres_t1;2017;pres;1;69015;Avenas;FILLON;LR;Les Republicains;Droite;25;21.74;26.32
2017_pres_t1;2017;pres;1;69015;Avenas;HAMON;SOC;Parti Socialiste;Gauche;1;0.87;1.05
2017_pres_t1;2017;pres;1;69015;Avenas;LASSALLE;DIV;Resistons;Divers;1;0.87;1.05
2017_pres_t1;2017;pres;1;69015;Avenas;LE PEN;RN;Rassemblement National;Extreme droite;5;4.35;5.26
2017_pres_t1;2017;pres;1;69015;Avenas;MACRON;ENS;En Marche / Renaissance;Centre;19;16.52;20.0
2017_pres_t1;2017;pres;1;69015;Avenas;MÉLENCHON;FI;La France Insoumise;Gauche radicale;30;26.09;31.58
2017_pres_t1;2017;pres;1;69015;Avenas;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;2.61;3.16
2017_pres_t1;2017;pres;1;69016;Azolette;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;0;0.0;0.0
2017_pres_t1;2017;pres;1;69016;Azolette;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;3;2.34;2.86
2017_pres_t1;2017;pres;1;69016;Azolette;CHEMINADE;DIV;Solidarite et Progres;Divers;0;0.0;0.0
2017_pres_t1;2017;pres;1;69016;Azolette;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;12;9.38;11.43
2017_pres_t1;2017;pres;1;69016;Azolette;FILLON;LR;Les Republicains;Droite;25;19.53;23.81
2017_pres_t1;2017;pres;1;69016;Azolette;HAMON;SOC;Parti Socialiste;Gauche;1;0.78;0.95
2017_pres_t1;2017;pres;1;69016;Azolette;LASSALLE;DIV;Resistons;Divers;2;1.56;1.9
2017_pres_t1;2017;pres;1;69016;Azolette;LE PEN;RN;Rassemblement National;Extreme droite;29;22.66;27.62
