id_election;id_brut_miom;code_departement;libelle_departement;code_commune;libelle_commune;code_circonscription;libelle_circonscription;code_bv;inscrits;abstentions;votants;nuls;exprimes;ratio_abstentions_inscrits;ratio_votants_inscrits;ratio_nuls_inscrits;ratio_nuls_votants;ratio_exprimes_inscrits;ratio_exprimes_votants;annee;type_election;tour;taux_participation
2017_pres_t1;69123_0346;69;Rhône;69123;Lyon;04;4ème circonscription;0346;1093;281;812;7;790;25.71;74.29;0.64;0.86;72.28;97.29;2017;pres;1;74.29
2017_pres_t1;69123_0347;69;Rhône;69123;Lyon;04;4ème circonscription;0347;970;210;760;6;739;21.65;78.35;0.62;0.79;76.19;97.24;2017;pres;1;78.35
2017_pres_t1;69123_0348;69;Rhône;69123;Lyon;04;4ème circonscription;0348;1057;256;801;4;788;24.22;75.78;0.38;0.5;74.55;98.38;2017;pres;1;75.78
2017_pres_t1;69123_0350;69;Rhône;69123;Lyon;04;4ème circonscription;0350;776;156;620;1;614;20.1;79.9;0.13;0.16;79.12;99.03;2017;pres;1;79.9
2017_pres_t1;69123_0351;69;Rhône;69123;Lyon;04;4ème circonscription;0351;952;179;773;2;761;18.8;81.2;0.21;0.26;79.94;98.45;2017;pres;1;81.2
2017_pres_t1;69123_0352;69;Rhône;69123;Lyon;04;4ème circonscription;0352;1010;156;854;2;837;15.45;84.55;0.2;0.23;82.87;98.01;2017;pres;1;84.55
2017_pres_t1;69123_0353;69;Rhône;69123;Lyon;04;4ème circonscription;0353;889;141;748;5;734;15.86;84.14;0.56;0.67;82.56;98.13;2017;pres;1;84.14
2017_pres_t1;69123_0354;69;Rhône;69123;Lyon;04;4ème circonscription;0354;950;190;760;2;753;20.0;80.0;0.21;0.26;79.26;99.08;2017;pres;1;80.0
2017_pres_t1;69123_0355;69;Rhône;69123;Lyon;04;4ème circonscription;0355;952;159;793;4;782;16.7;83.3;0.42;0.5;82.14;98.61;2017;pres;1;83.3
2017_pres_t1;69123_0356;69;Rhône;69123;Lyon;04;4ème circonscription;0356;778;136;642;1;634;17.48;82.52;0.13;0.16;81.49;98.75;2017;pres;1;82.52
2017_pres_t1;69123_0357;69;Rhône;69123;Lyon;04;4ème circonscription;0357;744;99;645;0;637;13.31;86.69;0.0;0.0;85.62;98.76;2017;pres;1;86.69
2017_pres_t1;69123_0358;69;Rhône;69123;Lyon;04;4ème circonscription;0358;994;145;849;4;831;14.59;85.41;0.4;0.47;83.6;97.88;2017;pres;1;85.41
